"activity" "subject_id" "variable" "value"
"LAYING" 1 "tBodyAcc.mean...X" 0.2863812184
"LAYING" 2 "tBodyAcc.mean...X" 0.28068267875
"LAYING" 3 "tBodyAcc.mean...X" 0.287113192096774
"LAYING" 4 "tBodyAcc.mean...X" 0.276126383518519
"LAYING" 5 "tBodyAcc.mean...X" 0.28882006
"LAYING" 6 "tBodyAcc.mean...X" 0.270011204368421
"LAYING" 7 "tBodyAcc.mean...X" 0.288110012307692
"LAYING" 8 "tBodyAcc.mean...X" 0.267149793972222
"LAYING" 9 "tBodyAcc.mean...X" 0.2597214125
"LAYING" 10 "tBodyAcc.mean...X" 0.277502243036207
"LAYING" 11 "tBodyAcc.mean...X" 0.270414241052632
"LAYING" 12 "tBodyAcc.mean...X" 0.2836007575
"LAYING" 13 "tBodyAcc.mean...X" 0.278287007580645
"LAYING" 14 "tBodyAcc.mean...X" 0.279565045294118
"LAYING" 15 "tBodyAcc.mean...X" 0.275661506791667
"LAYING" 16 "tBodyAcc.mean...X" 0.273340154142857
"LAYING" 17 "tBodyAcc.mean...X" 0.279000325352113
"LAYING" 18 "tBodyAcc.mean...X" 0.292821341692308
"LAYING" 19 "tBodyAcc.mean...X" 0.282141871325301
"LAYING" 20 "tBodyAcc.mean...X" 0.276366603235294
"LAYING" 21 "tBodyAcc.mean...X" 0.279891621777778
"LAYING" 22 "tBodyAcc.mean...X" 0.27251918875
"LAYING" 23 "tBodyAcc.mean...X" 0.273784473638889
"LAYING" 24 "tBodyAcc.mean...X" 0.270727564208333
"LAYING" 25 "tBodyAcc.mean...X" 0.27703703
"LAYING" 26 "tBodyAcc.mean...X" 0.266651023026316
"LAYING" 27 "tBodyAcc.mean...X" 0.265297597878378
"LAYING" 28 "tBodyAcc.mean...X" 0.2768176805
"LAYING" 29 "tBodyAcc.mean...X" 0.275527539855072
"LAYING" 30 "tBodyAcc.mean...X" 0.276183452714286
"SITTING" 1 "tBodyAcc.mean...X" 0.276417868510638
"SITTING" 2 "tBodyAcc.mean...X" 0.28046175173913
"SITTING" 3 "tBodyAcc.mean...X" 0.275641022884615
"SITTING" 4 "tBodyAcc.mean...X" 0.26917595334
"SITTING" 5 "tBodyAcc.mean...X" 0.275971286045455
"SITTING" 6 "tBodyAcc.mean...X" 0.278003536727273
"SITTING" 7 "tBodyAcc.mean...X" 0.268475635625
"SITTING" 8 "tBodyAcc.mean...X" 0.264242907608696
"SITTING" 9 "tBodyAcc.mean...X" 0.2906142438
"SITTING" 10 "tBodyAcc.mean...X" 0.265125457796296
"SITTING" 11 "tBodyAcc.mean...X" 0.273685927169811
"SITTING" 12 "tBodyAcc.mean...X" 0.270739304313726
"SITTING" 13 "tBodyAcc.mean...X" 0.271867698918367
"SITTING" 14 "tBodyAcc.mean...X" 0.277958152962963
"SITTING" 15 "tBodyAcc.mean...X" 0.277972284779661
"SITTING" 16 "tBodyAcc.mean...X" 0.268313221173913
"SITTING" 17 "tBodyAcc.mean...X" 0.270828268375
"SITTING" 18 "tBodyAcc.mean...X" 0.27467087122807
"SITTING" 19 "tBodyAcc.mean...X" 0.281545181849315
"SITTING" 20 "tBodyAcc.mean...X" 0.283751899393939
"SITTING" 21 "tBodyAcc.mean...X" 0.274068712635294
"SITTING" 22 "tBodyAcc.mean...X" 0.277717367096774
"SITTING" 23 "tBodyAcc.mean...X" 0.286308868823529
"SITTING" 24 "tBodyAcc.mean...X" 0.262928212794118
"SITTING" 25 "tBodyAcc.mean...X" 0.269311786153846
"SITTING" 26 "tBodyAcc.mean...X" 0.285151890512821
"SITTING" 27 "tBodyAcc.mean...X" 0.281661254071429
"SITTING" 28 "tBodyAcc.mean...X" 0.283036102083333
"SITTING" 29 "tBodyAcc.mean...X" 0.2349581944
"SITTING" 30 "tBodyAcc.mean...X" 0.27488135916129
"STANDING" 1 "tBodyAcc.mean...X" 0.272635221584906
"STANDING" 2 "tBodyAcc.mean...X" 0.272546396851852
"STANDING" 3 "tBodyAcc.mean...X" 0.277661195901639
"STANDING" 4 "tBodyAcc.mean...X" 0.276055490178571
"STANDING" 5 "tBodyAcc.mean...X" 0.269337356232143
"STANDING" 6 "tBodyAcc.mean...X" 0.272268290526316
"STANDING" 7 "tBodyAcc.mean...X" 0.29296885754717
"STANDING" 8 "tBodyAcc.mean...X" 0.269388785259259
"STANDING" 9 "tBodyAcc.mean...X" 0.271246376222222
"STANDING" 10 "tBodyAcc.mean...X" 0.280606795681818
"STANDING" 11 "tBodyAcc.mean...X" 0.284790960851064
"STANDING" 12 "tBodyAcc.mean...X" 0.275769098032787
"STANDING" 13 "tBodyAcc.mean...X" 0.260155680263158
"STANDING" 14 "tBodyAcc.mean...X" 0.271062259366667
"STANDING" 15 "tBodyAcc.mean...X" 0.256366527924528
"STANDING" 16 "tBodyAcc.mean...X" 0.272587390435897
"STANDING" 17 "tBodyAcc.mean...X" 0.28666066995641
"STANDING" 18 "tBodyAcc.mean...X" 0.277078086643836
"STANDING" 19 "tBodyAcc.mean...X" 0.267710539041096
"STANDING" 20 "tBodyAcc.mean...X" 0.272888384490411
"STANDING" 21 "tBodyAcc.mean...X" 0.266063426539326
"STANDING" 22 "tBodyAcc.mean...X" 0.284109287460317
"STANDING" 23 "tBodyAcc.mean...X" 0.268821781835294
"STANDING" 24 "tBodyAcc.mean...X" 0.27361332884058
"STANDING" 25 "tBodyAcc.mean...X" 0.279300241459459
"STANDING" 26 "tBodyAcc.mean...X" 0.278033131891892
"STANDING" 27 "tBodyAcc.mean...X" 0.27188105825
"STANDING" 28 "tBodyAcc.mean...X" 0.269143882050633
"STANDING" 29 "tBodyAcc.mean...X" 0.28266117
"STANDING" 30 "tBodyAcc.mean...X" 0.27033033440678
"WALKING" 1 "tBodyAcc.mean...X" 0.272466228063158
"WALKING" 2 "tBodyAcc.mean...X" 0.273470326101695
"WALKING" 3 "tBodyAcc.mean...X" 0.281666612068966
"WALKING" 4 "tBodyAcc.mean...X" 0.272933701983333
"WALKING" 5 "tBodyAcc.mean...X" 0.269833226964286
"WALKING" 6 "tBodyAcc.mean...X" 0.271925439298246
"WALKING" 7 "tBodyAcc.mean...X" 0.277303354561404
"WALKING" 8 "tBodyAcc.mean...X" 0.2700952875
"WALKING" 9 "tBodyAcc.mean...X" 0.270612411211538
"WALKING" 10 "tBodyAcc.mean...X" 0.282544788603774
"WALKING" 11 "tBodyAcc.mean...X" 0.276000642711864
"WALKING" 12 "tBodyAcc.mean...X" 0.271315944
"WALKING" 13 "tBodyAcc.mean...X" 0.26927350122807
"WALKING" 14 "tBodyAcc.mean...X" 0.279813578474576
"WALKING" 15 "tBodyAcc.mean...X" 0.28236647462963
"WALKING" 16 "tBodyAcc.mean...X" 0.256821300078431
"WALKING" 17 "tBodyAcc.mean...X" 0.272106940163934
"WALKING" 18 "tBodyAcc.mean...X" 0.269528025107143
"WALKING" 19 "tBodyAcc.mean...X" 0.273018143076923
"WALKING" 20 "tBodyAcc.mean...X" 0.284255938431373
"WALKING" 21 "tBodyAcc.mean...X" 0.279056141730769
"WALKING" 22 "tBodyAcc.mean...X" 0.26595858826087
"WALKING" 23 "tBodyAcc.mean...X" 0.271417548813559
"WALKING" 24 "tBodyAcc.mean...X" 0.270271517758621
"WALKING" 25 "tBodyAcc.mean...X" 0.263880605945946
"WALKING" 26 "tBodyAcc.mean...X" 0.279020055932203
"WALKING" 27 "tBodyAcc.mean...X" 0.276315974087719
"WALKING" 28 "tBodyAcc.mean...X" 0.266753803462963
"WALKING" 29 "tBodyAcc.mean...X" 0.283758113396226
"WALKING" 30 "tBodyAcc.mean...X" 0.279489200307692
"WALKING_DOWNSTAIRS" 1 "tBodyAcc.mean...X" 0.276286317346939
"WALKING_DOWNSTAIRS" 2 "tBodyAcc.mean...X" 0.275655258680851
"WALKING_DOWNSTAIRS" 3 "tBodyAcc.mean...X" 0.271704924693878
"WALKING_DOWNSTAIRS" 4 "tBodyAcc.mean...X" 0.281068012422222
"WALKING_DOWNSTAIRS" 5 "tBodyAcc.mean...X" 0.283105518595745
"WALKING_DOWNSTAIRS" 6 "tBodyAcc.mean...X" 0.279982153875
"WALKING_DOWNSTAIRS" 7 "tBodyAcc.mean...X" 0.265953977595745
"WALKING_DOWNSTAIRS" 8 "tBodyAcc.mean...X" 0.267161771315789
"WALKING_DOWNSTAIRS" 9 "tBodyAcc.mean...X" 0.27060287
"WALKING_DOWNSTAIRS" 10 "tBodyAcc.mean...X" 0.238962373105263
"WALKING_DOWNSTAIRS" 11 "tBodyAcc.mean...X" 0.284465802173913
"WALKING_DOWNSTAIRS" 12 "tBodyAcc.mean...X" 0.284258483478261
"WALKING_DOWNSTAIRS" 13 "tBodyAcc.mean...X" 0.284158199361702
"WALKING_DOWNSTAIRS" 14 "tBodyAcc.mean...X" 0.282744771155556
"WALKING_DOWNSTAIRS" 15 "tBodyAcc.mean...X" 0.282538037142857
"WALKING_DOWNSTAIRS" 16 "tBodyAcc.mean...X" 0.286527668851064
"WALKING_DOWNSTAIRS" 17 "tBodyAcc.mean...X" 0.286579498695652
"WALKING_DOWNSTAIRS" 18 "tBodyAcc.mean...X" 0.262508679436364
"WALKING_DOWNSTAIRS" 19 "tBodyAcc.mean...X" 0.275399779230769
"WALKING_DOWNSTAIRS" 20 "tBodyAcc.mean...X" 0.276768440666667
"WALKING_DOWNSTAIRS" 21 "tBodyAcc.mean...X" 0.281111140222222
"WALKING_DOWNSTAIRS" 22 "tBodyAcc.mean...X" 0.273355460555556
"WALKING_DOWNSTAIRS" 23 "tBodyAcc.mean...X" 0.271566926481482
"WALKING_DOWNSTAIRS" 24 "tBodyAcc.mean...X" 0.254181789818182
"WALKING_DOWNSTAIRS" 25 "tBodyAcc.mean...X" 0.269594435224138
"WALKING_DOWNSTAIRS" 26 "tBodyAcc.mean...X" 0.2842317686
"WALKING_DOWNSTAIRS" 27 "tBodyAcc.mean...X" 0.252602545
"WALKING_DOWNSTAIRS" 28 "tBodyAcc.mean...X" 0.282537592608696
"WALKING_DOWNSTAIRS" 29 "tBodyAcc.mean...X" 0.266452028041667
"WALKING_DOWNSTAIRS" 30 "tBodyAcc.mean...X" 0.272503758870968
"WALKING_UPSTAIRS" 1 "tBodyAcc.mean...X" 0.266323707735849
"WALKING_UPSTAIRS" 2 "tBodyAcc.mean...X" 0.268649236666667
"WALKING_UPSTAIRS" 3 "tBodyAcc.mean...X" 0.269062145508475
"WALKING_UPSTAIRS" 4 "tBodyAcc.mean...X" 0.263398874326923
"WALKING_UPSTAIRS" 5 "tBodyAcc.mean...X" 0.279514350638298
"WALKING_UPSTAIRS" 6 "tBodyAcc.mean...X" 0.280406441960784
"WALKING_UPSTAIRS" 7 "tBodyAcc.mean...X" 0.274945860588235
"WALKING_UPSTAIRS" 8 "tBodyAcc.mean...X" 0.25767270197561
"WALKING_UPSTAIRS" 9 "tBodyAcc.mean...X" 0.276142546938775
"WALKING_UPSTAIRS" 10 "tBodyAcc.mean...X" 0.282330934680851
"WALKING_UPSTAIRS" 11 "tBodyAcc.mean...X" 0.285565087592593
"WALKING_UPSTAIRS" 12 "tBodyAcc.mean...X" 0.273935359423077
"WALKING_UPSTAIRS" 13 "tBodyAcc.mean...X" 0.274194670181818
"WALKING_UPSTAIRS" 14 "tBodyAcc.mean...X" 0.258864677777778
"WALKING_UPSTAIRS" 15 "tBodyAcc.mean...X" 0.270130593125
"WALKING_UPSTAIRS" 16 "tBodyAcc.mean...X" 0.277919977843137
"WALKING_UPSTAIRS" 17 "tBodyAcc.mean...X" 0.277573711666667
"WALKING_UPSTAIRS" 18 "tBodyAcc.mean...X" 0.271490873275862
"WALKING_UPSTAIRS" 19 "tBodyAcc.mean...X" 0.2787491065
"WALKING_UPSTAIRS" 20 "tBodyAcc.mean...X" 0.255845652882353
"WALKING_UPSTAIRS" 21 "tBodyAcc.mean...X" 0.277088701276596
"WALKING_UPSTAIRS" 22 "tBodyAcc.mean...X" 0.27601031547619
"WALKING_UPSTAIRS" 23 "tBodyAcc.mean...X" 0.285103041372549
"WALKING_UPSTAIRS" 24 "tBodyAcc.mean...X" 0.274209336949153
"WALKING_UPSTAIRS" 25 "tBodyAcc.mean...X" 0.253805923707692
"WALKING_UPSTAIRS" 26 "tBodyAcc.mean...X" 0.256619217272727
"WALKING_UPSTAIRS" 27 "tBodyAcc.mean...X" 0.272592185098039
"WALKING_UPSTAIRS" 28 "tBodyAcc.mean...X" 0.294456771
"WALKING_UPSTAIRS" 29 "tBodyAcc.mean...X" 0.277637809387755
"WALKING_UPSTAIRS" 30 "tBodyAcc.mean...X" 0.271533444153846
"LAYING" 1 "tBodyAcc.mean...Y" -0.019721560038
"LAYING" 2 "tBodyAcc.mean...Y" -0.01743458313125
"LAYING" 3 "tBodyAcc.mean...Y" -0.0168224475424194
"LAYING" 4 "tBodyAcc.mean...Y" -0.0166957064453704
"LAYING" 5 "tBodyAcc.mean...Y" -0.0175053253153846
"LAYING" 6 "tBodyAcc.mean...Y" -0.0225774601491228
"LAYING" 7 "tBodyAcc.mean...Y" -0.0206824610480769
"LAYING" 8 "tBodyAcc.mean...Y" -0.0136463024666667
"LAYING" 9 "tBodyAcc.mean...Y" -0.01678412524
"LAYING" 10 "tBodyAcc.mean...Y" -0.0206480487735328
"LAYING" 11 "tBodyAcc.mean...Y" -0.0158638199666667
"LAYING" 12 "tBodyAcc.mean...Y" -0.0208215747816667
"LAYING" 13 "tBodyAcc.mean...Y" -0.0145989891177419
"LAYING" 14 "tBodyAcc.mean...Y" -0.0166215264294118
"LAYING" 15 "tBodyAcc.mean...Y" -0.0213446192501389
"LAYING" 16 "tBodyAcc.mean...Y" -0.02047153491
"LAYING" 17 "tBodyAcc.mean...Y" -0.0194135024197183
"LAYING" 18 "tBodyAcc.mean...Y" -0.0177656300161538
